,code,date,Open,High,Low,Close,Diff,Volume,diff
69,000040,2017-10-13,499,507,485,486,14,916763,1.1095890410958904
70,000040,2017-10-16,438,448,382,410,76,4427058,0.9975669099756691
71,000040,2017-10-17,411,418,395,401,9,1340034,1.0
72,000040,2017-10-18,401,405,396,398,3,383320,1.0
73,000040,2017-10-19,398,406,394,399,1,507917,1.0
74,000040,2017-10-20,399,403,395,400,1,536476,1.0
75,000040,2017-10-23,400,405,395,396,4,859204,0.9974811083123426
76,000040,2017-10-24,397,401,382,398,2,396933,1.0
77,000040,2017-10-25,398,408,394,403,5,726316,0.9901719901719902
78,000040,2017-10-26,407,415,400,405,2,528512,0.9830097087378641
79,000040,2017-10-27,412,412,395,406,1,759728,1.0
80,000040,2017-10-30,406,406,398,404,2,357134,1.0
81,000040,2017-10-31,404,408,399,404,0,289423,0.9901960784313726
82,000040,2017-11-01,408,436,405,412,8,2318419,0.9975786924939467
83,000040,2017-11-02,413,417,400,406,6,677455,1.002469135802469
84,000040,2017-11-03,405,410,397,406,0,572872,1.0
85,000040,2017-11-06,406,415,404,409,3,543029,0.9808153477218226
86,000040,2017-11-07,417,426,410,413,4,708043,1.0
87,000040,2017-11-08,413,415,406,407,6,261535,1.0
88,000040,2017-11-09,407,413,400,413,6,903068,1.0
89,000040,2017-11-10,413,413,402,406,7,546614,1.0074441687344913
90,000040,2017-11-13,403,406,369,385,21,3086359,1.013157894736842
91,000040,2017-11-14,380,380,367,372,13,1897223,1.0054054054054054
92,000040,2017-11-15,370,371,317,319,53,4370248,0.9937694704049844
93,000040,2017-11-16,321,333,321,333,14,1317127,1.0
94,000040,2017-11-17,333,342,326,338,5,995406,0.976878612716763
95,000040,2017-11-20,346,349,338,345,7,677645,0.9913793103448276
96,000040,2017-11-21,348,356,340,350,5,793530,1.0
97,000040,2017-11-22,350,355,343,348,2,740453,0.9942857142857143
98,000040,2017-11-23,350,368,345,366,18,953417,0.991869918699187
99,000040,2017-11-24,369,378,360,365,1,1416673,0.989159891598916
100,000040,2017-11-27,369,370,355,366,1,714714,1.0027397260273974
101,000040,2017-11-28,365,371,361,365,1,567813,1.0
102,000040,2017-11-29,365,365,351,358,7,332662,1.0112994350282485
103,000040,2017-11-30,354,357,345,347,11,498869,1.0
104,000040,2017-12-01,347,356,347,353,6,241357,1.0085714285714287
105,000040,2017-12-04,350,364,350,357,4,617177,1.0084745762711864
106,000040,2017-12-05,354,373,354,372,15,706887,0.9946524064171123
