,code,date,Open,High,Low,Close,Diff,Volume,diff
0,001020,2017-06-29,457,464,450,463,6,1182366,0.9978448275862069
1,001020,2017-06-30,464,469,457,464,1,823487,1.0021598272138228
2,001020,2017-07-03,463,464,420,435,29,6422714,1.018735362997658
3,001020,2017-07-04,427,439,420,420,15,2771584,1.0096153846153846
4,001020,2017-07-05,416,437,412,427,7,3030424,1.4280936454849498
5,001020,2017-07-06,299,327,299,299,128,61421834,1.023972602739726
6,001020,2017-07-07,292,309,289,302,3,61531865,0.9869281045751634
7,001020,2017-07-10,306,308,280,296,6,27658555,1.0068027210884354
8,001020,2017-07-11,294,309,288,302,6,20499622,0.9901639344262295
9,001020,2017-07-12,305,306,297,305,3,7767469,0.9967320261437909
10,001020,2017-07-13,306,306,299,301,4,6091563,1.0
11,001020,2017-07-14,301,306,297,297,4,7543498,0.99
12,001020,2017-07-17,300,301,297,298,1,4195593,0.9966555183946488
13,001020,2017-07-18,299,302,295,297,1,6091631,1.0
14,001020,2017-07-19,297,313,296,307,10,16247617,1.0032679738562091
15,001020,2017-07-20,306,307,300,305,2,8669664,0.993485342019544
16,001020,2017-07-21,307,308,301,303,2,11221155,1.02020202020202
17,001020,2017-07-24,297,313,296,302,1,19770373,0.9901639344262295
18,001020,2017-07-25,305,317,299,303,1,24176173,1.0033112582781456
19,001020,2017-07-26,302,305,297,299,4,5523804,1.0
20,001020,2017-07-27,299,306,294,305,6,11210452,1.0032894736842106
21,001020,2017-07-28,304,308,299,302,3,6347732,1.0100334448160535
22,001020,2017-07-31,299,310,296,301,1,10466246,1.0
23,001020,2017-08-01,301,308,300,301,0,9128109,1.0
24,001020,2017-08-02,301,303,297,299,2,4269052,1.0
25,001020,2017-08-03,299,302,297,298,1,4211421,1.0
26,001020,2017-08-04,298,305,295,297,1,6275612,1.0
27,001020,2017-08-07,297,299,295,295,2,3060852,0.9966216216216216
28,001020,2017-08-08,296,313,292,301,6,19867064,0.9966887417218543
29,001020,2017-08-09,302,305,297,299,2,7778890,0.9933554817275747
30,001020,2017-08-10,301,301,294,297,2,4457761,1.010204081632653
31,001020,2017-08-11,294,301,280,300,3,14459032,0.9966777408637874
32,001020,2017-08-14,301,302,290,292,8,6208532,0.9965870307167235
33,001020,2017-08-16,293,314,292,305,13,29991885,1.009933774834437
34,001020,2017-08-17,302,304,292,296,9,17678410,1.0
35,001020,2017-08-18,296,296,287,295,1,9057317,1.0034013605442176
36,001020,2017-08-21,294,298,291,295,0,3532466,1.0
37,001020,2017-08-22,295,298,292,298,3,6823093,0.9966555183946488
38,001020,2017-08-23,299,299,294,296,2,4695252,0.9966329966329966
39,001020,2017-08-24,297,297,293,296,0,2565240,1.0068027210884354
40,001020,2017-08-25,294,297,294,295,1,2311131,1.0034013605442176
41,001020,2017-08-28,294,296,292,295,0,2957924,1.0034013605442176
42,001020,2017-08-29,294,307,292,298,3,15441316,1.0
43,001020,2017-08-30,298,303,296,296,2,5354004,1.0
44,001020,2017-08-31,296,298,294,296,0,3246900,0.9966329966329966
45,001020,2017-09-01,297,297,295,296,0,3196656,1.0206896551724138
46,001020,2017-09-04,290,302,289,296,0,8844622,0.9899665551839465
47,001020,2017-09-05,299,323,296,298,2,57062574,1.0
48,001020,2017-09-06,298,301,294,294,4,10457222,0.9735099337748344
49,001020,2017-09-07,302,314,296,299,5,52834528,1.0
50,001020,2017-09-08,299,301,293,299,0,11662582,0.9614147909967846
51,001020,2017-09-11,311,311,296,296,3,13232020,0.9866666666666667
52,001020,2017-09-12,300,305,298,302,6,19294069,inf
63,001020,2017-09-27,2630,3050,2335,2345,285,6832766,0.9832285115303984
64,001020,2017-09-28,2385,2410,2165,2280,65,1461235,1.0
65,001020,2017-09-29,2280,2345,2225,2270,10,677420,0.9826839826839827
66,001020,2017-10-10,2310,2365,2240,2260,10,1194739,1.0319634703196348
67,001020,2017-10-11,2190,2225,2035,2125,135,1443910,0.9976525821596244
68,001020,2017-10-12,2130,2275,2110,2130,5,789601,0.9976580796252927
69,001020,2017-10-13,2135,2180,2055,2070,60,369107,1.0
70,001020,2017-10-16,2070,2085,1970,2020,50,349309,1.0049751243781095
71,001020,2017-10-17,2010,2065,2000,2040,20,244243,1.0074074074074073
72,001020,2017-10-18,2025,2070,2010,2025,15,279268,1.0024752475247525
73,001020,2017-10-19,2020,2080,2000,2030,5,318298,1.0
74,001020,2017-10-20,2030,2075,2010,2075,45,204764,0.9975961538461539
75,001020,2017-10-23,2080,2085,2015,2025,50,292667,0.9926470588235294
76,001020,2017-10-24,2040,2040,1990,2000,25,321628,1.0
