,code,date,Open,High,Low,Close,Diff,Volume
0,005930,2017-06-29,48040.0,48320.0,47940.0,47940.0,12000,166131
1,005930,2017-06-30,47500.0,47620.0,47100.0,47540.0,20000,237551
2,005930,2017-07-03,47500.0,47780.0,47120.0,47220.0,16000,136111
3,005930,2017-07-04,47160.0,47400.0,46900.0,47000.0,11000,159220
4,005930,2017-07-05,46820.0,47680.0,46780.0,47580.0,29000,212805
5,005930,2017-07-06,48000.0,48100.0,47720.0,48060.0,24000,218461
6,005930,2017-07-07,47740.0,48120.0,47620.0,47860.0,10000,162638
7,005930,2017-07-10,48500.0,48900.0,48320.0,48660.0,40000,215855
8,005930,2017-07-11,48640.0,49000.0,48280.0,49000.0,17000,194356
9,005930,2017-07-12,49000.0,50000.0,48840.0,49880.0,44000,189723
10,005930,2017-07-13,50080.0,50940.0,50040.0,50560.0,34000,320683
11,005930,2017-07-14,51000.0,51080.0,50420.0,50480.0,4000,164780
12,005930,2017-07-17,50900.0,51020.0,50520.0,50640.0,8000,179522
13,005930,2017-07-18,50420.0,50880.0,50360.0,50840.0,10000,141689
14,005930,2017-07-19,50620.0,50820.0,50000.0,50740.0,5000,223150
15,005930,2017-07-20,50760.0,51320.0,50560.0,51200.0,23000,167352
16,005930,2017-07-21,50860.0,51160.0,50520.0,51080.0,6000,168981
17,005930,2017-07-24,50700.0,51000.0,50620.0,50860.0,11000,141995
18,005930,2017-07-25,50500.0,50760.0,49940.0,50000.0,43000,216212
19,005930,2017-07-26,49600.0,50020.0,49300.0,49840.0,8000,224496
20,005930,2017-07-27,50000.0,50640.0,49560.0,49800.0,2000,228990
21,005930,2017-07-28,49800.0,49800.0,47380.0,47760.0,102000,523366
22,005930,2017-07-31,47420.0,48240.0,46920.0,48200.0,22000,254028
23,005930,2017-08-01,48000.0,48840.0,47540.0,48600.0,20000,227390
24,005930,2017-08-02,49200.0,49340.0,48600.0,49000.0,20000,155549
25,005930,2017-08-03,49000.0,49000.0,47120.0,47780.0,61000,310816
26,005930,2017-08-04,48160.0,48180.0,47500.0,47700.0,4000,167184
27,005930,2017-08-07,47500.0,48080.0,47440.0,47580.0,6000,144365
28,005930,2017-08-08,47980.0,48260.0,47480.0,47720.0,7000,159592
29,005930,2017-08-09,47400.0,47400.0,46240.0,46280.0,72000,291108
30,005930,2017-08-10,46200.0,46320.0,45460.0,45900.0,19000,459723
31,005930,2017-08-11,45120.0,45300.0,44220.0,44620.0,64000,508146
32,005930,2017-08-14,45120.0,45400.0,44720.0,45000.0,19000,383712
33,005930,2017-08-16,46220.0,46380.0,46000.0,46200.0,60000,438273
34,005930,2017-08-17,46960.0,47300.0,46740.0,47040.0,42000,248317
35,005930,2017-08-18,46760.0,47240.0,46240.0,46900.0,7000,209559
36,005930,2017-08-21,47240.0,47240.0,46580.0,46840.0,3000,102069
37,005930,2017-08-22,46820.0,47160.0,46700.0,47000.0,8000,147635
38,005930,2017-08-23,47780.0,47780.0,47180.0,47480.0,24000,187694
39,005930,2017-08-24,47520.0,47660.0,47340.0,47520.0,2000,173149
40,005930,2017-08-25,47880.0,47880.0,46720.0,47020.0,25000,224871
41,005930,2017-08-28,47020.0,47240.0,45960.0,46100.0,46000,199242
